# television	inicio_seg	largo_seg	comercial	score
mega-2014_04_10	2226.658	31.665	ballerina	0.6123
mega-2014_04_10	185.318	30.464	colgate sensitive	0.701
mega-2014_04_10	831.998	30.464	colgate sensitive	0.8921
mega-2014_04_10	850.016	30.464	colgate sensitive	0.865
mega-2014_04_10	925.324	30.464	colgate sensitive	0.6259
mega-2014_04_10	1114.013	30.464	colgate sensitive	0.8306
mega-2014_04_10	1748.013	30.464	colgate sensitive	0.667
mega-2014_04_10	1790.656	30.464	colgate sensitive	0.5371
mega-2014_04_10	1908.006	30.464	colgate sensitive	0.6557
mega-2014_04_10	2078.009	30.464	colgate sensitive	0.7842
mega-2014_04_10	2399.33	30.464	colgate sensitive	0.5722
mega-2014_04_10	2421.319	30.464	colgate sensitive	0.6375
mega-2014_04_10	2715.346	30.464	colgate sensitive	0.6919
mega-2014_04_10	3530.66	30.464	colgate sensitive	0.582
mega-2014_04_10	31.331	30.03	colgate total12	0.681
mega-2014_04_10	469.336	30.03	colgate total12	0.4772
mega-2014_04_10	548.014	30.03	colgate total12	0.6579
mega-2014_04_10	678.011	30.03	colgate total12	0.6891
mega-2014_04_10	855.321	30.03	colgate total12	0.8187
mega-2014_04_10	1780.679	30.03	colgate total12	0.604
mega-2014_04_10	1897.996	30.03	colgate total12	0.6354
mega-2014_04_10	2087.319	30.03	colgate total12	0.8036
mega-2014_04_10	2106.671	30.03	colgate total12	0.7542
mega-2014_04_10	2487.986	30.03	colgate total12	0.483
mega-2014_04_10	2978.008	30.03	colgate total12	0.6331
mega-2014_04_10	3019.35	30.03	colgate total12	0.5393
mega-2014_04_10	3536.667	30.03	colgate total12	0.759
mega-2014_04_10	38.672	31.632	cristal	0.5635
mega-2014_04_10	327.327	31.632	cristal	0.5586
mega-2014_04_10	697.33	31.632	cristal	0.7215
mega-2014_04_10	899.999	31.632	cristal	0.6017
mega-2014_04_10	1025.992	31.632	cristal	0.4468
mega-2014_04_10	1055.321	31.632	cristal	0.7105
