# television	inicio_seg	largo_seg	comercial	score
mega-2014_04_10	157.328	34.668	ballerina	0.7511
mega-2014_04_10	360.998	31.665	ballerina	0.7352
mega-2014_04_10	396.333	63.330	ballerina	0.7663
mega-2014_04_10	781.985	56.023	ballerina	0.8692
mega-2014_04_10	1512.348	38.639	ballerina	0.7533
mega-2014_04_10	2204.006	59.326	ballerina	0.8482
mega-2014_04_10	2345.013	31.665	ballerina	0.8335
mega-2014_04_10	2687.989	31.665	ballerina	0.8758
mega-2014_04_10	3144.345	31.665	ballerina	0.7853
mega-2014_04_10	3205.339	31.665	ballerina	0.6743
mega-2014_04_10	3287.321	40.340	ballerina	0.7036
mega-2014_04_10	3388.656	47.681	ballerina	0.7717
mega-2014_04_10	592.663	30.464	colgate sensitive	0.6172
mega-2014_04_10	686.323	30.464	colgate sensitive	0.7472
mega-2014_04_10	1722.325	30.464	colgate sensitive	0.9068
mega-2014_04_10	2710.011	30.464	colgate sensitive	0.8617
mega-2014_04_10	3421.989	62.129	colgate sensitive	0.7831
mega-2014_04_10	3543.010	30.464	colgate sensitive	0.8081
mega-2014_04_10	543.680	35.669	colgate total12	0.8026
mega-2014_04_10	827.664	49.349	colgate total12	0.8594
mega-2014_04_10	1698.668	30.030	colgate total12	0.8084
mega-2014_04_10	1772.008	30.030	colgate total12	0.7094
mega-2014_04_10	136.674	35.969	cristal	0.7579
mega-2014_04_10	336.674	31.632	cristal	0.7308
mega-2014_04_10	427.331	33.634	cristal	0.6532
mega-2014_04_10	735.005	31.632	cristal	0.6756
mega-2014_04_10	794.665	36.303	cristal	0.8226
mega-2014_04_10	2080.015	49.950	cristal	0.9646
mega-2014_04_10	2207.009	31.632	cristal	0.6085
mega-2014_04_10	2248.317	31.632	cristal	0.8970
mega-2014_04_10	2694.663	31.632	cristal	0.7927
mega-2014_04_10	3140.675	48.949	cristal	0.8030
mega-2014_04_10	3215.983	31.632	cristal	0.8370
mega-2014_04_10	3390.324	31.632	cristal	0.9430
mega-2014_04_10	357.661	30.130	dfm motor	0.7283
mega-2014_04_10	797.000	33.133	dfm motor	0.9341
mega-2014_04_10	1465.668	30.130	dfm motor	0.8683
mega-2014_04_10	2343.345	30.130	dfm motor	0.8947
mega-2014_04_10	2751.987	49.149	dfm motor	0.7504
mega-2014_04_10	2819.988	30.130	dfm motor	0.7681
mega-2014_04_10	152.990	15.048	dove desodorante hombre	0.7750
mega-2014_04_10	869.339	15.048	dove desodorante hombre	0.6610
mega-2014_04_10	1101.004	15.048	dove desodorante hombre	0.6854
mega-2014_04_10	3349.016	15.048	dove desodorante hombre	0.9751
mega-2014_04_10	2377.346	34.668	dove pelo	0.7532
mega-2014_04_10	2658.660	30.030	dove pelo	0.8886
mega-2014_04_10	2702.003	30.030	dove pelo	0.6771
mega-2014_04_10	430.334	16.250	falabella connect	0.9940
mega-2014_04_10	776.346	16.250	falabella connect	0.7577
mega-2014_04_10	1578.347	16.250	falabella connect	0.7873
mega-2014_04_10	2185.321	16.250	falabella connect	0.7170
mega-2014_04_10	2554.323	16.250	falabella connect	0.9131
mega-2014_04_10	3332.667	16.250	falabella connect	0.9963
mega-2014_04_10	203.340	31.765	ferreteria mts	0.7100
mega-2014_04_10	891.995	31.765	ferreteria mts	0.6615
mega-2014_04_10	2076.345	31.765	ferreteria mts	0.6457
mega-2014_04_10	2666.334	31.765	ferreteria mts	0.6950
mega-2014_04_10	2761.329	31.765	ferreteria mts	0.8178
mega-2014_04_10	2822.657	31.765	ferreteria mts	0.9283
mega-2014_04_10	3301.002	31.765	ferreteria mts	0.9936
mega-2014_04_10	232.670	36.770	limon soda	0.6819
mega-2014_04_10	834.338	37.104	limon soda	0.8057
mega-2014_04_10	2246.348	31.765	limon soda	0.6191
mega-2014_04_10	2535.337	36.770	limon soda	0.7146
mega-2014_04_10	277.681	20.988	mall plaza	0.8250
mega-2014_04_10	2161.997	20.988	mall plaza	0.7538
mega-2014_04_10	2276.011	20.988	mall plaza	0.7584
mega-2014_04_10	2562.664	20.988	mall plaza	0.6467
mega-2014_04_10	2667.669	34.334	mall plaza	0.6224
mega-2014_04_10	2748.350	36.970	mall plaza	0.8275
mega-2014_04_10	3229.997	20.988	mall plaza	0.6035
mega-2014_04_10	245.683	31.598	mall plaza (2)	0.9922
mega-2014_04_10	424.328	31.598	mall plaza (2)	0.7008
mega-2014_04_10	920.323	35.602	mall plaza (2)	0.8418
mega-2014_04_10	2162.998	31.598	mall plaza (2)	0.6209
mega-2014_04_10	2353.322	43.610	mall plaza (2)	0.7543
mega-2014_04_10	2558.660	40.941	mall plaza (2)	0.8248
mega-2014_04_10	2611.346	42.242	mall plaza (2)	0.8193
mega-2014_04_10	2668.336	31.598	mall plaza (2)	0.7940
mega-2014_04_10	3192.994	31.598	mall plaza (2)	0.7044
mega-2014_04_10	689.993	31.598	mr big (2)	0.8076
mega-2014_04_10	879.683	67.567	mr big (2)	0.8797
mega-2014_04_10	1624.660	31.598	mr big (2)	0.8386
mega-2014_04_10	2178.347	35.235	mr big (2)	0.7341
mega-2014_04_10	2662.664	31.598	mr big (2)	0.8002
mega-2014_04_10	3135.002	31.598	mr big (2)	0.8490
mega-2014_04_10	3392.326	31.598	mr big (2)	0.6504
mega-2014_04_10	853.990	22.522	omo1	0.8337
mega-2014_04_10	2279.014	21.521	omo1	0.8371
mega-2014_04_10	2366.335	25.859	omo1	0.7160
mega-2014_04_10	2636.338	21.521	omo1	0.9910
mega-2014_04_10	849.653	20.053	pantene expert	0.6058
mega-2014_04_10	1981.650	32.199	petrobras pantuflas mundialeras	0.7345
mega-2014_04_10	2087.656	42.209	petrobras pantuflas mundialeras	0.7133
mega-2014_04_10	2581.983	32.199	petrobras pantuflas mundialeras	0.7099
mega-2014_04_10	350.654	30.330	presto	0.6914
mega-2014_04_10	980.650	51.018	presto	0.7939
mega-2014_04_10	2222.658	30.330	presto	0.7529
mega-2014_04_10	2271.340	59.993	presto	0.7172
mega-2014_04_10	2371.673	30.330	presto	0.9557
mega-2014_04_10	2575.010	30.330	presto	0.6729
mega-2014_04_10	2746.681	41.975	presto	0.7926
mega-2014_04_10	3218.986	36.003	presto	0.7740
mega-2014_04_10	3264.665	43.010	presto	0.8077
mega-2014_04_10	179.984	30.964	samsung	0.8291
mega-2014_04_10	1364.334	30.964	samsung	0.7794
mega-2014_04_10	1563.332	30.964	samsung	0.8311
mega-2014_04_10	2171.340	30.964	samsung	0.6705
mega-2014_04_10	2547.682	40.941	samsung	0.7009
mega-2014_04_10	2843.011	34.301	samsung	0.8335
mega-2014_04_10	292.997	25.092	scotiabank	0.9922
mega-2014_04_10	854.324	33.100	scotiabank	0.8149
mega-2014_04_10	930.667	40.774	scotiabank	0.8199
mega-2014_04_10	1471.007	25.092	scotiabank	0.9927
mega-2014_04_10	1504.674	25.092	scotiabank	0.7133
mega-2014_04_10	1580.349	25.092	scotiabank	0.9897
mega-2014_04_10	1994.330	25.092	scotiabank	0.7787
mega-2014_04_10	2084.320	33.100	scotiabank	0.8749
mega-2014_04_10	2211.346	25.092	scotiabank	0.9371
mega-2014_04_10	2267.002	25.092	scotiabank	0.7837
mega-2014_04_10	2584.986	25.092	scotiabank	0.7961
mega-2014_04_10	3253.321	25.092	scotiabank	0.9230
mega-2014_04_10	139.343	31.532	soprole panacota	0.8465
mega-2014_04_10	2230.332	31.532	soprole panacota	0.6903
mega-2014_04_10	2659.327	31.532	soprole panacota	0.8211
mega-2014_04_10	2694.329	31.532	soprole panacota	0.6142
mega-2014_04_10	3271.005	60.861	soprole panacota	0.6658
mega-2014_04_10	151.656	31.698	vtr	0.7824
mega-2014_04_10	363.667	31.698	vtr	0.9945
mega-2014_04_10	401.672	37.371	vtr	0.9115
mega-2014_04_10	740.344	41.008	vtr	0.7123
mega-2014_04_10	784.321	37.037	vtr	0.8041
mega-2014_04_10	2229.665	31.698	vtr	0.6907
mega-2014_04_10	2344.012	31.698	vtr	0.9966
mega-2014_04_10	2579.347	31.698	vtr	0.6924
mega-2014_04_10	3285.319	46.380	vtr	0.7629
mega-2014_04_10	3385.987	31.698	vtr	0.8662
mega-2014_04_11	92.997	31.665	ballerina	0.7946
mega-2014_04_11	440.010	34.001	ballerina	0.7845
mega-2014_04_11	556.994	31.665	ballerina	0.7403
mega-2014_04_11	714.318	31.665	ballerina	0.8836
mega-2014_04_11	944.681	31.665	ballerina	0.7552
mega-2014_04_11	1127.998	31.665	ballerina	0.9348
mega-2014_04_11	1219.322	34.001	ballerina	0.7570
mega-2014_04_11	1438.675	31.665	ballerina	0.6277
mega-2014_04_11	1555.324	31.665	ballerina	0.8002
mega-2014_04_11	1590.993	31.665	ballerina	0.7053
mega-2014_04_11	1626.662	56.657	ballerina	0.8433
mega-2014_04_11	1806.676	31.665	ballerina	0.8730
mega-2014_04_11	1994.997	31.665	ballerina	0.7853
mega-2014_04_11	2191.326	54.354	ballerina	0.8336
mega-2014_04_11	2293.662	31.665	ballerina	0.6070
