# television	inicio_seg	largo_seg	comercial	score
mega-2014_04_10	2225.416	16.250	falabella connect	0.9744
mega-2014_04_11	271.574	31.748	falabella connect	0.9748
mega-2014_04_11	692.283	41.642	falabella connect	0.9805
mega-2014_04_11	2580.055	16.250	falabella connect	0.9593
mega-2014_04_11	2725.228	16.250	falabella connect	0.9633
mega-2014_04_11	2976.657	16.250	falabella connect	0.9863
mega-2014_04_11	3073.173	15.048	dove desodorante hombre	0.9947
mega-2014_04_16	621.785	16.250	falabella connect	0.9717
mega-2014_04_16	2297.865	16.250	falabella connect	0.9748
mega-2014_04_16	2374.668	16.250	falabella connect	0.9813
mega-2014_04_16	3161.526	16.250	falabella connect	0.9712
mega-2014_04_16	3362.788	16.250	falabella connect	0.9757
mega-2014_04_16	3453.894	16.250	falabella connect	0.9496
mega-2014_04_17	522.641	16.250	falabella connect	0.9717
mega-2014_04_23	949.505	15.048	dove desodorante hombre	0.9990
mega-2014_04_23	1882.261	16.250	falabella connect	0.9743
mega-2014_04_25	627.124	16.250	falabella connect	0.9770
mega-2014_04_25	2129.177	15.048	dove desodorante hombre	0.9985
