# television	inicio_seg	largo_seg	comercial	score
mega-2014_04_10	0.000	31.765	limon soda	0.9989
mega-2014_04_10	0.000	30.030	colgate total12	0.9990
mega-2014_04_10	0.000	25.092	scotiabank	0.9982
mega-2014_04_10	11.795	30.464	colgate sensitive	0.9996
mega-2014_04_10	17.334	20.053	pantene expert	0.9995
mega-2014_04_10	20.904	31.598	mr big (2)	0.9994
mega-2014_04_10	29.246	16.250	falabella connect	0.9995
mega-2014_04_10	44.127	21.521	omo1	0.9997
mega-2014_04_10	68.085	48.849	ballerina	0.9998
mega-2014_04_10	85.752	30.030	dove pelo	0.9984
mega-2014_04_10	90.223	31.765	limon soda	0.9993
mega-2014_04_10	90.757	31.698	vtr	0.9994
mega-2014_04_10	98.115	31.665	ballerina	0.9998
mega-2014_04_10	110.444	30.030	colgate total12	0.9999
mega-2014_04_10	147.481	30.030	colgate total12	0.9991
mega-2014_04_10	149.733	32.199	petrobras pantuflas mundialeras	0.9996
mega-2014_04_10	153.470	20.053	pantene expert	0.9994
mega-2014_04_10	165.582	31.532	soprole panacota	0.9986
mega-2014_04_10	173.473	31.765	ferreteria mts	0.9997
mega-2014_04_10	179.963	30.464	colgate sensitive	0.9999
mega-2014_04_10	187.854	31.698	vtr	0.9989
mega-2014_04_10	188.105	32.199	petrobras pantuflas mundialeras	0.9983
mega-2014_04_10	203.487	30.130	dfm motor	0.9980
mega-2014_04_10	211.545	30.030	colgate total12	0.9989
mega-2014_04_10	231.248	30.330	presto	0.9994
mega-2014_04_10	235.986	31.532	soprole panacota	0.9999
mega-2014_04_10	246.263	31.665	ballerina	0.9999
mega-2014_04_10	252.636	39.439	mall plaza (2)	1.0000
mega-2014_04_10	277.494	16.250	falabella connect	0.9992
mega-2014_04_10	285.702	21.521	omo1	0.9977
mega-2014_04_10	292.092	32.933	scotiabank	1.0000
mega-2014_04_10	308.508	31.632	cristal	0.9994
mega-2014_04_10	332.833	30.030	colgate total12	0.9997
mega-2014_04_10	345.929	21.521	omo1	0.9998
mega-2014_04_10	351.851	41.041	vtr	0.9999
mega-2014_04_10	391.057	30.030	colgate total12	0.9995
mega-2014_04_10	391.341	30.130	dfm motor	0.9999
mega-2014_04_10	399.566	31.698	vtr	0.9991
mega-2014_04_10	405.155	32.199	petrobras pantuflas mundialeras	0.9990
mega-2014_04_10	412.212	31.765	limon soda	0.9990
mega-2014_04_10	429.479	16.250	falabella connect	0.9998
mega-2014_04_10	435.051	30.130	dfm motor	0.9988
mega-2014_04_10	516.149	25.092	scotiabank	0.9944
mega-2014_04_10	545.095	31.598	mall plaza (2)	0.9991
